"項目","単位","1980_S55","1981_S56","1982_S57","1983_S58","1984_S59","1985_S60","1986_S61","1987_S62","1988_S63","1989_H1","1990_H2","1991_H3","1992_H4","1993_H5","1994_H6","1995_H7","1996_H8","1997_H9","1998_H10","1999_H11","2000_H12","2001_H13","2002_H14","2003_H15","2004_H16","2005_H17","有効数字(少数桁)"
"農業編（総括）_6_経営耕地面積_面積（販売農家）","ha","…","","","","","30483.0","","","","","28987.0","","","","","27552.0","","","","","26315.0","","","","","24502.63",""
"","　","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和60年以降は販売農家）","戸","57769.0","","","","","38045.0","","","","","34390.0","","","","","31726.0","","","","","28681.0","","","","","25594.0",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和61年以降は販売農家）_例外規定","戸","161.0","","","","","1361.0","","","","","982.0","","","","","1063.0","","","","","727.0","","","","","781.0",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和62年以降は販売農家）_0.3ha未満","戸","18208.0","","","","","…","","","","","…","","","","","…","","","","","…","","","","","6300.0",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和63年以降は販売農家）_0.3～0.5","戸","11779.0","","","","","11075.0","","","","","9668.0","","","","","8658.0","","","","","7596.0","","","","","9509.0",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和64年以降は販売農家）_0.5～1.0","戸","16690.0","","","","","15277.0","","","","","13612.0","","","","","12273.0","","","","","10924.0","","","","","4095.0",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和65年以降は販売農家）_1.0～1.5","戸","6536.0","","","","","6043.0","","","","","5615.0","","","","","5042.0","","","","","4530.0","","","","","2285.0",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和66年以降は販売農家）_1.5～2.0","戸","2823.0","","","","","2652.0","","","","","2610.0","","","","","2473.0","","","","","2425.0","","","","","1346.0",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和67年以降は販売農家）_2.0～2.5","戸","1036.0","","","","","1077.0","","","","","1118.0","","","","","1291.0","","","","","1307.0","","","","","662.0",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和68年以降は販売農家）_2.5～3.0","戸","322.0","","","","","323.0","","","","","436.0","","","","","492.0","","","","","625.0","","","","","476.0",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和69年以降は販売農家）_3.0～5.0","戸","203.0","","","","","218.0","","","","","310.0","","","","","…","","","","","…","","","","","…",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和70年以降は販売農家）_3.0～4.0","戸","…","","","","","…","","","","","…","","","","","320.0","","","","","421.0","","","","","92.0",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和71年以降は販売農家）_4.0～5.０","戸","…","","","","","…","","","","","…","","","","","78.0","","","","","81.0","","","","","37.0",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和72年以降は販売農家）_5ha以上","戸","11.0","","","","","19.0","","","","","39.0","","","","","…","","","","","…","","","","","…",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和73年以降は販売農家）_5.0～7.0","戸","…","","","","","…","","","","","…","","","","","…","","","","","…","","","","","8.0",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和74年以降は販売農家）_5.0～7.5","戸","…","","","","","…","","","","","…","","","","","29.0","","","","","36.0","","","","","…",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和75年以降は販売農家）_7.0～10.0","戸","…","","","","","…","","","","","…","","","","","…","","","","","…","","","","","1.0",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和76年以降は販売農家）_7.5～10.0","戸","…","","","","","…","","","","","…","","","","","3.0","","","","","4.0","","","","","…",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和77年以降は販売農家）_10.0～15.0","戸","…","","","","","…","","","","","…","","","","","4.0","","","","","4.0","","","","","2.0",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和78年以降は販売農家）_15ha以上","戸","…","","","","","…","","","","","…","","","","","0.0","","","","","1.0","","","","","…",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和79年以降は販売農家）_15.0～20.0","戸","…","","","","","…","","","","","…","","","","","…","","","","","…","","","","","-",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和80年以降は販売農家）_20.0～30.0","戸","…","","","","","…","","","","","…","","","","","…","","","","","…","","","","","-",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和81年以降は販売農家）_30.0～40.0","戸","…","","","","","…","","","","","…","","","","","…","","","","","…","","","","","-",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和82年以降は販売農家）_40.0～50.0","戸","…","","","","","…","","","","","…","","","","","…","","","","","…","","","","","-",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和83年以降は販売農家）_50.0～100.0","戸","…","","","","","…","","","","","…","","","","","…","","","","","…","","","","","-",""
"農業編（農家・人口）_7_経営耕地面積規模別農家数（昭和84年以降は販売農家）_100ha以上","戸","…","","","","","…","","","","","…","","","","","…","","","","","…","","","","","-",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（農家・人口）_8_主副業別農家数","戸","…","","","","","…","","","","","34390.0","","","","","31726.0","","","","","28681.0","","","","","25594.0",""
"農業編（農家・人口）_8_主副業別農家数_主業農家","戸","…","","","","","…","","","","","14971.0","","","","","12833.0","","","","","10407.0","","","","","9432.0",""
"農業編（農家・人口）_8_主副業別農家数_主業農家_65歳未満の農業専従者がいる","戸","…","","","","","…","","","","","13268.0","","","","","11374.0","","","","","9441.0","","","","","8481.0",""
"農業編（農家・人口）_8_主副業別農家数_準主業農家","戸","…","","","","","…","","","","","9042.0","","","","","7098.0","","","","","6469.0","","","","","5028.0",""
"農業編（農家・人口）_8_主副業別農家数_準主業農家_65歳未満の農業専従者がいる","戸","…","","","","","…","","","","","4175.0","","","","","3200.0","","","","","3006.0","","","","","2370.0",""
"農業編（農家・人口）_8_主副業別農家数_準主業農家","戸","…","","","","","…","","","","","10377.0","","","","","11795.0","","","","","11805.0","","","","","11134.0",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和60年以降は販売農家）","戸","57769.0","","","","","38045.0","","","","","34390.0","","","","","31726.0","","","","","28681.0","","","","","25594.0",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和61年以降は販売農家）_販売なし","戸","11198.0","","","","","1624.0","","","","","1649.0","","","","","1339.0","","","","","1164.0","","","","","1852.0",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和62年以降は販売農家）_10万円未満","戸","6809.0","","","","","2342.0","","","","","…","","","","","…","","","","","…","","","","","…",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和63年以降は販売農家）_10～50","戸","13612.0","","","","","8146.0","","","","","…","","","","","…","","","","","…","","","","","…",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和64年以降は販売農家）_15万円未満","戸","…","","","","","…","","","","","3053.0","","","","","…","","","","","…","","","","","…",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和65年以降は販売農家）_15～50","戸","…","","","","","…","","","","","6586.0","","","","","…","","","","","…","","","","","…",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和66年以降は販売農家）_50万円未満","戸","…","","","","","…","","","","","…","","","","","7279.0","","","","","7085.0","","","","","4616.0",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和67年以降は販売農家）_50～100","戸","8233.0","","","","","6914.0","","","","","5938.0","","","","","5473.0","","","","","4752.0","","","","","3774.0",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和68年以降は販売農家）_100～200","戸","…","","","","","…","","","","","…","","","","","4490.0","","","","","3791.0","","","","","3922.0",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和69年以降は販売農家）_100～150","戸","5385.0","","","","","4407.0","","","","","3405.0","","","","","…","","","","","…","","","","","…",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和70年以降は販売農家）_150～200","戸","4045.0","","","","","3534.0","","","","","2675.0","","","","","…","","","","","…","","","","","…",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和71年以降は販売農家）_200～300","戸","3946.0","","","","","3950.0","","","","","3248.0","","","","","3194.0","","","","","2701.0","","","","","2491.0",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和72年以降は販売農家）_300～500","戸","3088.0","","","","","3841.0","","","","","3604.0","","","","","3483.0","","","","","3176.0","","","","","2997.0",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和73年以降は販売農家）_500～700","戸","936.0","","","","","1797.0","","","","","1911.0","","","","","2391.0","","","","","2070.0","","","","","2007.0",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和74年以降は販売農家）_700～1000","戸","300.0","","","","","886.0","","","","","1296.0","","","","","1896.0","","","","","1817.0","","","","","1708.0",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和75年以降は販売農家）_1000～1500","戸","105.0","","","","","330.0","","","","","675.0","","","","","1311.0","","","","","1254.0","","","","","1356.0",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和76年以降は販売農家）_1500万円以上","戸","112.0","","","","","…","","","","","…","","","","","…","","","","","…","","","","","…",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和77年以降は販売農家）_（1500～2000）","戸","…","","","","","117.0","","","","","169.0","","","","","454.0","","","","","485.0","","","","","493.0",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和78年以降は販売農家）_（2000～3000）","戸","…","","","","","71.0","","","","","86.0","","","","","262.0","","","","","277.0","","","","","279.0",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和79年以降は販売農家）_（3000万円以上）","戸","…","","","","","86.0","","","","","95.0","","","","","…","","","","","…","","","","","…",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和80年以降は販売農家）_3000～5000","戸","…","","","","","…","","","","","…","","","","","90.0","","","","","91.0","","","","","74.0",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和81年以降は販売農家）_5000万円以上","戸","…","","","","","…","","","","","…","","","","","64.0","","","","","…","","","","","…",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和82年以降は販売農家）_（5000～1億）","戸","…","","","","","…","","","","","…","","","","","…","","","","","15.0","","","","","22.0",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和83年以降は販売農家）_（1億円以上）","戸","…","","","","","…","","","","","…","","","","","…","","","","","3.0","","","","","…",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和84年以降は販売農家）_（1億～3億）","戸","…","","","","","…","","","","","…","","","","","…","","","","","…","","","","","3.0",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和85年以降は販売農家）_（3億～5億）","戸","…","","","","","…","","","","","…","","","","","…","","","","","…","","","","","-",""
"農業編（農家・人口）_9_農産物販売金額規模別農家数（昭和86年以降は販売農家）_（5億円以上）","戸","…","","","","","…","","","","","…","","","","","…","","","","","…","","","","","-",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（農家・人口）_10_農産物販売金額1位の部門別農家数（昭和60年以降は販売農家）","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（農家・人口）_10_農産物販売金額1位の部門別農家数（昭和61年以降は販売農家）_販売のあった農家数","戸","46571.0","","","","","36421.0","","","","","32741.0","","","","","30387.0","","","","","27517.0","","","","","23742.0",""
"農業編（農家・人口）_10_農産物販売金額1位の部門別農家数（昭和62年以降は販売農家）_稲作","戸","14351.0","","","","","10476.0","","","","","9117.0","","","","","8040.0","","","","","7044.0","","","","","5147.0",""
"農業編（農家・人口）_10_農産物販売金額1位の部門別農家数（昭和63年以降は販売農家）_麦類作","戸","7.0","","","","","-","","","","","1.0","","","","","-","","","","","-","","","","","1.0",""
"農業編（農家・人口）_10_農産物販売金額1位の部門別農家数（昭和64年以降は販売農家）_雑穀・いも類・豆類","戸","1087.0","","","","","156.0","","","","","110.0","","","","","83.0","","","","","130.0","","","","","100.0",""
"農業編（農家・人口）_10_農産物販売金額1位の部門別農家数（昭和65年以降は販売農家）_工芸農作物","戸","363.0","","","","","281.0","","","","","204.0","","","","","255.0","","","","","190.0","","","","","267.0",""
"農業編（農家・人口）_10_農産物販売金額1位の部門別農家数（昭和66年以降は販売農家）_施設園芸","戸","1177.0","","","","","1889.0","","","","","2356.0","","","","","1117.0","","","","","…","","","","","…",""
"農業編（農家・人口）_10_農産物販売金額1位の部門別農家数（昭和67年以降は販売農家）_野菜類","戸","3248.0","","","","","2848.0","","","","","2332.0","","","","","…","","","","","…","","","","","…",""
"農業編（農家・人口）_10_農産物販売金額1位の部門別農家数（昭和68年以降は販売農家）_露地野菜","戸","…","","","","","…","","","","","…","","","","","1723.0","","","","","1400.0","","","","","1255.0",""
"農業編（農家・人口）_10_農産物販売金額1位の部門別農家数（昭和69年以降は販売農家）_施設野菜","戸","…","","","","","…","","","","","…","","","","","…","","","","","1170.0","","","","","1013.0",""
"農業編（農家・人口）_10_農産物販売金額1位の部門別農家数（昭和70年以降は販売農家）_果樹類","戸","24229.0","","","","","19416.0","","","","","17447.0","","","","","17098.0","","","","","15952.0","","","","","14636.0",""
"農業編（農家・人口）_10_農産物販売金額1位の部門別農家数（昭和71年以降は販売農家）_花き・花木","戸","…","","","","","…","","","","","…","","","","","1677.0","","","","","1341.0","","","","","1081.0",""
"農業編（農家・人口）_10_農産物販売金額1位の部門別農家数（昭和72年以降は販売農家）_その他の作物","戸","1402.0","","","","","772.0","","","","","832.0","","","","","193.0","","","","","146.0","","","","","117.0",""
"農業編（農家・人口）_10_農産物販売金額1位の部門別農家数（昭和73年以降は販売農家）_酪農","戸","108.0","","","","","94.0","","","","","68.0","","","","","41.0","","","","","29.0","","","","","20.0",""
"農業編（農家・人口）_10_農産物販売金額1位の部門別農家数（昭和74年以降は販売農家）_肉用牛","戸","94.0","","","","","102.0","","","","","68.0","","","","","34.0","","","","","28.0","","","","","24.0",""
"農業編（農家・人口）_10_農産物販売金額1位の部門別農家数（昭和75年以降は販売農家）_養豚","戸","152.0","","","","","105.0","","","","","40.0","","","","","12.0","","","","","9.0","","","","","4.0",""
"農業編（農家・人口）_10_農産物販売金額1位の部門別農家数（昭和76年以降は販売農家）_養鶏","戸","296.0","","","","","259.0","","","","","160.0","","","","","104.0","","","","","71.0","","","","","59.0",""
"農業編（農家・人口）_10_農産物販売金額1位の部門別農家数（昭和77年以降は販売農家）_その他の畜産","戸","8.0","","","","","13.0","","","","","5.0","","","","","10.0","","","","","7.0","","","","","17.0",""
"農業編（農家・人口）_10_農産物販売金額1位の部門別農家数（昭和78年以降は販売農家）_養蚕","戸","49.0","","","","","10.0","","","","","1.0","","","","","-","","","","","-","","","","","1.0",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和60年以降は販売農家）","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和61年以降は販売農家）_単一経営農家数","戸","32372.0","","","","","24815.0","","","","","23594.0","","","","","22778.0","","","","","21297.0","","","","","18848.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和62年以降は販売農家）_単一経営農家数_稲作","戸","9526.0","","","","","6816.0","","","","","6573.0","","","","","5988.0","","","","","5431.0","","","","","3994.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和63年以降は販売農家）_単一経営農家数_麦類作","戸","2.0","","","","","-","","","","","-","","","","","-","","","","","-","","","","","1.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和64年以降は販売農家）_単一経営農家数_雑穀・いも類・豆類","戸","392.0","","","","","80.0","","","","","44.0","","","","","35.0","","","","","38.0","","","","","34.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和65年以降は販売農家）_単一経営農家数_工芸農作物","戸","212.0","","","","","143.0","","","","","110.0","","","","","149.0","","","","","137.0","","","","","206.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和66年以降は販売農家）_単一経営農家数_施設園芸","戸","270.0","","","","","469.0","","","","","763.0","","","","","…","","","","","…","","","","","…",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和67年以降は販売農家）_単一経営農家数_野菜類","戸","1346.0","","","","","1011.0","","","","","828.0","","","","","…","","","","","…","","","","","…",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和68年以降は販売農家）_単一経営農家数_露地野菜","戸","…","","","","","…","","","","","…","","","","","632.0","","","","","457.0","","","","","477.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和69年以降は販売農家）_単一経営農家数_施設野菜","戸","…","","","","","…","","","","","…","","","","","290.0","","","","","374.0","","","","","406.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和70年以降は販売農家）_単一経営農家数_果樹類","戸","19179.0","","","","","15417.0","","","","","14532.0","","","","","14511.0","","","","","13896.0","","","","","12946.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和71年以降は販売農家）_単一経営農家数_花き・花木","戸","…","","","","","…","","","","","…","","","","","957.0","","","","","801.0","","","","","640.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和72年以降は販売農家）_単一経営農家数_その他の作物","戸","948.0","","","","","434.0","","","","","486.0","","","","","80.0","","","","","76.0","","","","","58.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和73年以降は販売農家）_単一経営農家数_酪農","戸","58.0","","","","","64.0","","","","","47.0","","","","","30.0","","","","","18.0","","","","","15.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和74年以降は販売農家）_単一経営農家数_肉用牛","戸","64.0","","","","","78.0","","","","","54.0","","","","","23.0","","","","","16.0","","","","","18.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和75年以降は販売農家）_単一経営農家数_養豚","戸","110.0","","","","","79.0","","","","","30.0","","","","","7.0","","","","","6.0","","","","","3.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和76年以降は販売農家）_単一経営農家数_養鶏","戸","224.0","","","","","205.0","","","","","124.0","","","","","71.0","","","","","41.0","","","","","41.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和77年以降は販売農家）_単一経営農家数_その他の畜産","戸","4.0","","","","","10.0","","","","","3.0","","","","","5.0","","","","","6.0","","","","","8.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和78年以降は販売農家）_単一経営農家数_養蚕","戸","37.0","","","","","9.0","","","","","-","","","","","-","","","","","-","","","","","1.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和79年以降は販売農家）_準単一複合経営農家数","戸","10122.0","","","","","8379.0","","","","","7107.0","","","","","5966.0","","","","","5093.0","","","","","3869.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和80年以降は販売農家）_準単一複合経営農家数_稲作が主位","戸","3573.0","","","","","2756.0","","","","","1998.0","","","","","1675.0","","","","","1352.0","","","","","881.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和81年以降は販売農家）_準単一複合経営農家数_施設園芸が主位","戸","546.0","","","","","885.0","","","","","1212.0","","","","","579.0","","","","","611.0","","","","","…",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和82年以降は販売農家）_準単一複合経営農家数_野菜類が主位","戸","1216.0","","","","","1225.0","","","","","1067.0","","","","","…","","","","","…","","","","","…",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和83年以降は販売農家）_準単一複合経営農家数_露地野菜が主位","戸","…","","","","","…","","","","","…","","","","","786.0","","","","","728.0","","","","","588.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和84年以降は販売農家）_準単一複合経営農家数_施設野菜が主位","戸","…","","","","","…","","","","","…","","","","","…","","","","","…","","","","","464.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和85年以降は販売農家）_準単一複合経営農家数_果樹類が主位","戸","3801.0","","","","","2989.0","","","","","2383.0","","","","","2112.0","","","","","1756.0","","","","","1406.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和86年以降は販売農家）_準単一複合経営農家数_花き・花木が主位","戸","…","","","","","…","","","","","…","","","","","556.0","","","","","424.0","","","","","356.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和87年以降は販売農家）_準単一複合経営農家数_酪農が主位","戸","35.0","","","","","24.0","","","","","19.0","","","","","11.0","","","","","9.0","","","","","4.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和88年以降は販売農家）_準単一複合経営農家数_肉用牛が主位","戸","25.0","","","","","20.0","","","","","12.0","","","","","8.0","","","","","11.0","","","","","4.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和89年以降は販売農家）_準単一複合経営農家数_養鶏が主位","戸","58.0","","","","","51.0","","","","","32.0","","","","","27.0","","","","","25.0","","","","","17.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和90年以降は販売農家）_準単一複合経営農家数_その他の畜産が主位","戸","2.0","","","","","1.0","","","","","1.0","","","","","2.0","","","","","1.0","","","","","7.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和91年以降は販売農家）_準単一複合経営農家数_養蚕が主位","戸","10.0","","","","","1.0","","","","","1.0","","","","","-","","","","","-","","","","","-",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和92年以降は販売農家）_準単一複合経営農家数_その他","戸","856.0","","","","","427.0","","","","","382.0","","","","","210.0","","","","","176.0","","","","","142.0",""
"農業編（農家・人口）_11_農業経営組織別農家数（昭和93年以降は販売農家）_複合経営農家数","戸","4077.0","","","","","3227.0","","","","","2040.0","","","","","1643.0","","","","","1127.0","","","","","1025.0",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（農家・人口）_12_専兼業別農家数（昭和60年以降は販売農家）","戸","57769.0","","","","","38045.0","","","","","34390.0","","","","","31726.0","","","","","28681.0","","","","","25594.0",""
"農業編（農家・人口）_12_専兼業別農家数（昭和61年以降は販売農家）_専業農家","戸","12818.0","","","","","10051.0","","","","","9821.0","","","","","9041.0","","","","","8649.0","","","","","9250.0",""
"農業編（農家・人口）_12_専兼業別農家数（昭和62年以降は販売農家）_兼業農家","戸","44951.0","","","","","27994.0","","","","","24569.0","","","","","22685.0","","","","","20032.0","","","","","16344.0",""
"農業編（農家・人口）_12_専兼業別農家数（昭和63年以降は販売農家）_兼業農家_第1種兼業農家","戸","11383.0","","","","","9632.0","","","","","8014.0","","","","","7921.0","","","","","6091.0","","","","","5408.0",""
"農業編（農家・人口）_12_専兼業別農家数（昭和64年以降は販売農家）_兼業農家_第2種兼業農家","戸","33568.0","","","","","18362.0","","","","","16555.0","","","","","14764.0","","","","","13941.0","","","","","10936.0",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（農家・人口）_13_男女別年齢別世帯員数","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（農家・人口）_13_（昭和60年以降は総農家）","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（農家・人口）_13_男女別年齢別世帯員数_男女計","人","245524.0","","","","","221414.0","","","","","198727.0","","","","","175318.0","","","","","160175.0","","","","","134239.0",""
"農業編（農家・人口）_13_男女別年齢別世帯員数_男女計_14歳以下","人","42962.0","","","","","38645.0","","","","","31928.0","","","","","23693.0","","","","","19103.0","","","","","…",""
"農業編（農家・人口）_13_男女別年齢別世帯員数_男女計_15～19","人","16206.0","","","","","12502.0","","","","","11984.0","","","","","10228.0","","","","","9748.0","","","","","…",""
"農業編（農家・人口）_13_男女別年齢別世帯員数_男女計_（15）","人","3836.0","","","","","2913.0","","","","","2593.0","","","","","…","","","","","…","","","","","…",""
"農業編（農家・人口）_13_男女別年齢別世帯員数_男女計_（16～19）","人","12370.0","","","","","9589.0","","","","","9391.0","","","","","…","","","","","…","","","","","…",""
"農業編（農家・人口）_13_男女別年齢別世帯員数_男女計_20～24","人","15078.0","","","","","12029.0","","","","","9419.0","","","","","9047.0","","","","","8694.0","","","","","…",""
"農業編（農家・人口）_13_男女別年齢別世帯員数_男女計_25～29","人","15034.0","","","","","12291.0","","","","","9629.0","","","","","7463.0","","","","","7405.0","","","","","…",""
"農業編（農家・人口）_13_男女別年齢別世帯員数_男女計_30～34","人","14615.0","","","","","13366.0","","","","","10730.0","","","","","8072.0","","","","","6185.0","","","","","…",""
"農業編（農家・人口）_13_男女別年齢別世帯員数_男女計_35～39","人","12999.0","","","","","13777.0","","","","","12354.0","","","","","9988.0","","","","","7680.0","","","","","…",""
"農業編（農家・人口）_13_男女別年齢別世帯員数_男女計_40～44","人","14844.0","","","","","12221.0","","","","","12948.0","","","","","11711.0","","","","","9631.0","","","","","…",""
"農業編（農家・人口）_13_男女別年齢別世帯員数_男女計_45～49","人","18590.0","","","","","13649.0","","","","","11329.0","","","","","12103.0","","","","","11086.0","","","","","…",""
"農業編（農家・人口）_13_男女別年齢別世帯員数_男女計_50～54","人","20553.0","","","","","17084.0","","","","","12710.0","","","","","10676.0","","","","","11415.0","","","","","…",""
"農業編（農家・人口）_13_男女別年齢別世帯員数_男女計_55～59","人","17782.0","","","","","18637.0","","","","","15655.0","","","","","11746.0","","","","","9998.0","","","","","…",""
"農業編（農家・人口）_13_男女別年齢別世帯員数_男女計_60～64","人","14723.0","","","","","16351.0","","","","","17557.0","","","","","14892.0","","","","","11534.0","","","","","…",""
